"Title","ID","Created date","Updated date","Owner","Interest","User ID","Member","Distributed Content","Type"
,"088cc828-3170-4b94-ae8e-0bd264c7ab41",2022-01-16T03:30:26Z,2022-01-16T03:30:26Z,"86cb673d-2065-48fa-9e74-113f1952873f","Class Assignment","86cb673d-2065-48fa-9e74-113f1952873f","846130d9-bd22-47fa-8489-93043a4b172f","986d1a26-4e70-41b8-89a5-35052f87f64b","Instructor Material"
,"08b00445-7dc0-4bf5-833d-479a296769c6",2022-01-10T17:17:25Z,2022-01-10T17:17:25Z,"fc2741e7-6403-4cc5-af61-58161ddfa544","Class Assignment","fc2741e7-6403-4cc5-af61-58161ddfa544","42435906-a2ef-417c-8cba-adf84f045eb6","27a24058-5abb-44fa-9aee-c94a109c9185","Student Material"
,"08ecec61-0763-4da1-8908-18692c4b9580",2022-01-03T23:35:42Z,2022-01-03T23:35:42Z,"bcea408c-e1fd-484a-9db2-fefe556dd0cf","Testing","bcea408c-e1fd-484a-9db2-fefe556dd0cf","afdae4a6-2b50-49ae-99c4-5c35b8f74b9a","57ee8a4f-8ea6-4144-a94a-950ef1ea0d01","Instructor Material"
,"08fddd26-cc78-4c41-8ea4-2a4e9c6f1bc5",2022-01-10T14:35:09Z,2022-01-10T14:35:09Z,"9ec5be5f-d03c-4e4a-93e4-b7b761124c01","Personal Use","9ec5be5f-d03c-4e4a-93e4-b7b761124c01","d2e9fe3e-f3f9-4f1f-b46d-1655d34a9694","27a24058-5abb-44fa-9aee-c94a109c9185","Student Material"
,"090e9fba-8bce-4b4e-b75d-2c6b3d8e9fc2",2021-11-05T14:58:06Z,2021-11-05T14:58:06Z,"1b50e596-fd60-4883-9e84-5e599f3acbf0","Personal Use","1b50e596-fd60-4883-9e84-5e599f3acbf0","66313fe7-8c9c-4a43-a0f7-a239249f6154","27a24058-5abb-44fa-9aee-c94a109c9185","Student Material"
,"094b1d5c-8638-4529-a730-411d297dfdb8",2022-01-10T20:24:16Z,2022-01-10T20:24:16Z,"dd9df7a3-299d-488b-9195-2a8d2c924f66","Class Assignment","dd9df7a3-299d-488b-9195-2a8d2c924f66","f459bd1e-5b52-4edf-83eb-320e11fb5155","1506d067-13e4-40f2-8ba0-5e0fabc9741b","Instructor Material"
,"096d7f5f-b194-43ba-ac25-274167e9b606",2021-10-19T13:54:58Z,2021-10-19T13:54:58Z,"27b1f456-f2bb-4e1f-acee-8d716e937508","Personal Use","27b1f456-f2bb-4e1f-acee-8d716e937508","5838c68f-573d-478a-a583-cada64790e74","36d8a32b-7fab-4e97-a3bd-665a48c5c254","Student Material"
,"096f4f06-7745-4ffd-9ad7-41077820aae0",2021-10-12T19:30:45Z,2021-10-12T19:30:45Z,"6d43fb67-e19b-4bb8-921f-ea5b9df4d332","Class Assignment","6d43fb67-e19b-4bb8-921f-ea5b9df4d332","1ef8f6bf-3b65-4b50-a45c-ed29d4e798ec","d85061c4-5551-4f2b-8343-4418677dbbf6","Instructor Material"
,"098e6570-86e9-4a84-997b-d03ed697f56b",2022-01-13T14:00:47Z,2022-01-13T14:00:47Z,"b0dd249c-94c6-4b3a-ae69-620ecfd6e3ca","Testing","b0dd249c-94c6-4b3a-ae69-620ecfd6e3ca","6cdadb22-5cca-4b49-b01a-b3ab2ce64d86","92f3678d-b1d9-4f1a-b647-980cb414366c","Instructor Material"
,"09c722cc-edd7-4695-b087-50f7ddd025b6",2022-01-10T20:23:14Z,2022-01-10T20:23:14Z,"dd9df7a3-299d-488b-9195-2a8d2c924f66","Class Assignment","dd9df7a3-299d-488b-9195-2a8d2c924f66","f459bd1e-5b52-4edf-83eb-320e11fb5155","1506d067-13e4-40f2-8ba0-5e0fabc9741b","Instructor Material"
,"09de1afc-32bd-479a-949f-ded33cb1045f",2022-01-12T15:34:41Z,2022-01-12T15:34:41Z,"013cb869-fe2e-4602-99f6-6dc79a4d6032","Class Assignment","013cb869-fe2e-4602-99f6-6dc79a4d6032","cdfeb81b-7b09-42eb-aa74-044b97903c83","36d8a32b-7fab-4e97-a3bd-665a48c5c254","Instructor Material"
,"0a22d901-a43f-4f12-b28f-af1dea59a7d9",2022-01-13T14:08:08Z,2022-01-13T14:08:08Z,"e4b08143-074a-43c3-9bf2-ce9bbdccf896","Class Assignment","e4b08143-074a-43c3-9bf2-ce9bbdccf896","727a147c-d5a9-48be-95a2-4978c9b2697e","5ca668ee-2665-4c21-b0b8-15ed3dd213f8","Instructor Material"
,"0a4139e7-b053-4425-bb60-a9b0cc96e3de",2022-01-10T14:56:16Z,2022-01-10T14:56:16Z,"0264cd27-02c2-4658-8740-a000a340c083","Class Assignment","0264cd27-02c2-4658-8740-a000a340c083","d6e8937e-a7f3-49f4-b4c9-2d0fea496b4c","95e5a1ae-5b9f-4d10-b1de-47fe89920fc1","Student Material"
,"0a63218f-3fa4-4ac1-a712-d3d66f22cbcd",2022-01-11T02:12:26Z,2022-01-11T02:12:26Z,"3463740a-6cfa-4da1-b3da-c6ce3d9f59b8","Class Assignment","3463740a-6cfa-4da1-b3da-c6ce3d9f59b8","0aad34f7-f01e-4486-8612-6fbc0923e9c6","95e5a1ae-5b9f-4d10-b1de-47fe89920fc1","Student Material"
,"0a7a585e-89f2-448e-a800-ccb0da41cc54",2021-11-10T18:15:03Z,2021-11-10T18:15:03Z,"a838ac37-3139-42e2-b7d0-3e2c776e4e5c","Class Assignment","a838ac37-3139-42e2-b7d0-3e2c776e4e5c","29539b70-1b0e-4175-b45c-835fc1a1feb4","34f9f158-5f2b-48ad-a573-7d72707f0ebd","Student Material"
,"0ab66e4c-71f5-4738-ab6d-69acab31d5b2",2021-11-03T12:24:09Z,2021-11-03T12:24:09Z,"dc7d3c9f-ef38-4771-b3c2-e29b1a9646f0","Personal Use","dc7d3c9f-ef38-4771-b3c2-e29b1a9646f0","2dffc5cb-c3dd-4561-9992-e4d6bd1904f8","95e5a1ae-5b9f-4d10-b1de-47fe89920fc1","Student Material"
